496 186 638 179 473 302 683 293 452 410 694 409 535 396 616 394 530 559 632 554 559 694 643 704 
500 184 638 179 483 300 682 291 457 410 690 404 537 398 616 396 532 551 631 551 569 683 644 703 
508 179 634 178 494 294 674 287 472 408 671 397 537 397 614 395 530 544 628 547 578 678 643 703 
510 177 622 179 503 291 650 287 485 405 641 393 537 396 612 395 529 539 626 540 576 677 644 700 
514 177 606 179 512 291 626 289 494 400 597 374 538 396 607 396 525 527 620 535 559 664 644 693 
514 186 588 187 516 300 600 293 499 406 575 377 538 398 602 398 523 524 616 535 541 648 647 688 
513 198 569 195 515 310 576 298 500 414 551 380 531 407 587 402 520 526 605 533 537 644 647 681 
510 207 554 201 512 318 566 302 499 416 541 381 523 408 572 403 518 527 582 523 535 645 635 654 
503 212 537 207 510 318 550 303 502 416 535 382 515 408 546 402 512 522 541 505 539 637 578 606 
500 212 524 213 509 317 535 310 498 415 514 397 509 407 532 401 503 524 530 506 536 642 567 590 
498 211 502 216 511 317 515 314 496 414 496 399 506 407 513 404 502 524 499 508 535 643 531 606 
498 213 483 221 522 317 498 315 495 410 475 389 505 409 498 408 498 525 475 503 530 640 495 607 
498 220 464 229 525 321 479 321 497 412 454 389 507 410 481 409 500 522 450 499 533 636 470 594 
500 230 443 241 528 322 454 327 509 413 438 392 507 410 470 408 497 523 446 503 534 637 455 601 
498 245 425 254 529 329 432 330 524 417 422 399 505 408 465 408 490 523 444 505 533 635 455 603 
492 261 412 264 529 340 414 337 534 427 410 408 505 408 461 408 476 515 439 505 525 626 457 604 
485 275 399 281 527 350 403 347 543 432 402 417 505 408 458 408 471 509 436 504 510 616 454 606 
479 293 393 302 526 365 394 365 544 440 396 431 504 410 456 412 472 503 434 504 495 611 456 607 
477 309 387 321 525 384 391 385 545 453 397 448 504 417 457 420 473 503 433 504 490 608 458 606 
475 324 386 333 521 394 388 398 541 462 400 461 500 422 453 425 472 505 430 505 488 607 455 606 
476 337 386 351 516 408 389 418 538 475 408 485 498 426 450 429 471 506 428 505 488 605 458 607 
477 348 387 361 514 416 390 422 536 482 411 484 497 428 448 430 471 507 424 505 488 605 457 607 
478 356 386 367 512 422 391 426 536 486 412 480 495 429 447 432 471 507 423 505 488 603 455 607 
